trade_type,fr_orig,fr_inmode,fr_dest,fr_outmode,dms_orig,dms_dest,dms_dest_cnty,sctgG5,dms_mode,tons_2022
1,,,,,460,151,15003,sctg0109,5,0.0286250
1,,,,,471,151,15003,sctg0109,5,0.8948570
1,,,,,472,151,15003,sctg0109,11,0.1794220
1,,,,,472,159,15001,sctg0109,11,0.0000803
1,,,,,472,159,15005,sctg0109,11,0.0000097
1,,,,,472,159,15007,sctg0109,11,0.0000393
1,,,,,472,159,15009,sctg0109,11,0.0000678
1,,,,,484,151,15003,sctg0109,5,17.7066800
1,,,,,491,151,15003,sctg0109,11,0.0003640
1,,,,,491,151,15003,sctg0109,5,2.1211280
1,,,,,491,159,15001,sctg0109,5,0.0065551
1,,,,,491,159,15005,sctg0109,5,0.0007891
1,,,,,491,159,15007,sctg0109,5,0.0032101
1,,,,,491,159,15009,sctg0109,5,0.0055367
1,,,,,499,151,15003,sctg0109,11,0.3681410
1,,,,,499,151,15003,sctg0109,5,2.7966690
1,,,,,499,159,15001,sctg0109,5,0.0117162
1,,,,,499,159,15005,sctg0109,5,0.0014103
1,,,,,499,159,15007,sctg0109,5,0.0057375
1,,,,,499,159,15009,sctg0109,5,0.0098960
1,,,,,511,151,15003,sctg0109,11,0.0000910
1,,,,,511,151,15003,sctg0109,5,0.0001120
1,,,,,512,151,15003,sctg0109,11,0.8321150
1,,,,,512,151,15003,sctg0109,5,0.0006050
1,,,,,513,159,15001,sctg0109,5,0.0033328
1,,,,,513,159,15005,sctg0109,5,0.0004012
1,,,,,513,159,15007,sctg0109,5,0.0016321
1,,,,,513,159,15009,sctg0109,5,0.0028150
1,,,,,519,151,15003,sctg0109,11,0.8079300
1,,,,,531,151,15003,sctg0109,11,2.1268230
1,,,,,531,151,15003,sctg0109,5,1.2323080
1,,,,,531,159,15001,sctg0109,11,0.0290770
1,,,,,531,159,15001,sctg0109,5,0.0089370
1,,,,,531,159,15005,sctg0109,11,0.0035001
1,,,,,531,159,15005,sctg0109,5,0.0010758
1,,,,,531,159,15007,sctg0109,11,0.0142392
1,,,,,531,159,15007,sctg0109,5,0.0043765
1,,,,,531,159,15009,sctg0109,11,0.0245597
1,,,,,531,159,15009,sctg0109,5,0.0075486
1,,,,,532,151,15003,sctg0109,11,0.0001410
1,,,,,532,159,15001,sctg0109,11,0.1263608
1,,,,,532,159,15001,sctg0109,5,1.7881861
1,,,,,532,159,15005,sctg0109,11,0.0152105
1,,,,,532,159,15005,sctg0109,5,0.2152504
1,,,,,532,159,15007,sctg0109,11,0.0618798
1,,,,,532,159,15007,sctg0109,5,0.8756878
1,,,,,532,159,15009,sctg0109,11,0.1067299
1,,,,,532,159,15009,sctg0109,5,1.5103817
1,,,,,539,151,15003,sctg0109,5,0.2840590
1,,,,,551,151,15003,sctg0109,5,0.0099540
